"Stream/Site name","Collected","East","Delta"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","10","2"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","11","3"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","13","4"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","14","5"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","15","6"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","16","7"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","17","8"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","18","9"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","22","10"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","23","11"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","24","12"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","26","13"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","27","14"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","28","15"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","29","16"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","3",""
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","4","1"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","8","2"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","9","3"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","10","4"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","11","5"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","13","6"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","14","7"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","15","8"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","23","9"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","24","10"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","26","11"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","27","12"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","28","13"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","29","14"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","33","15"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","34","16"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","8",""
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","9","1"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","10","2"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","11","3"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","13","4"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","14","5"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","15","6"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","16","7"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","17","8"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","18","9"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","19","10"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","20","11"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","21","12"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","22","13"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","23","14"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","24","15"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","26","16"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","27","17"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","28","18"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","29","19"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","3",""
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","4","1"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","8","2"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","9","3"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","10","4"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","11","5"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","13","6"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","14","7"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","15","8"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","16","9"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","17","10"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","18","11"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","19","12"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","20","13"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","21","14"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","23","15"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","27","16"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","28","17"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","29","18"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","34","19"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","4",""
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","9","1"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","10","2"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","11","3"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","13","4"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","14","5"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","15","6"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","16","7"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","17","8"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","18","9"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","19","10"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","20","11"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","21","12"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","22","13"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","26","14"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","27","15"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","28","16"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","33","17"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","34","18"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","3",""
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","4","1"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","8","2"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","9","3"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","10","4"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","11","5"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","14","6"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","15","7"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","16","8"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","17","9"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","18","10"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","19","11"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","20","12"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","21","13"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","22","14"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","24","15"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","26","16"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","27","17"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","28","18"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","29","19"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","33","20"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","34","21"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","3",""
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","4","1"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","8","2"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","9","3"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","10","4"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","11","5"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","13","6"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","14","7"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","17","8"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","18","9"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","19","10"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","20","11"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","24","12"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","26","13"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","29","14"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","33","15"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","34","16"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","3",""
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","4","1"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","8","2"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","9","3"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","10","4"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","11","5"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","3",""
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","4","1"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","8","2"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","9","3"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","10","4"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","11","5"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","3",""
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","4","1"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","8","2"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","9","3"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","10","4"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","11","5"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","13","6"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","18","7"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","24","8"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","3",""
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","4","1"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","8","2"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","13","3"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","14","4"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","19","5"
"Coast Creek Data","Fri, 2014-09-26 13:36","3",""
"Coast Creek Data","Fri, 2014-09-26 13:36","4","1"
"Coast Creek Data","Fri, 2014-09-26 13:36","8","2"
"Coast Creek Data","Fri, 2014-09-26 13:36","9","3"
"Coast Creek Data","Fri, 2014-09-26 13:36","10","4"
"Coast Creek Data","Fri, 2014-09-26 13:36","11","5"
"Coast Creek Data","Fri, 2014-09-26 13:36","13","6"
"Coast Creek Data","Fri, 2014-09-26 13:36","14","7"
"Coast Creek Data","Fri, 2014-09-26 13:36","15","8"
"Coast Creek Data","Fri, 2014-09-26 13:36","16","9"
"Coast Creek Data","Fri, 2014-09-26 13:36","17","10"
"Coast Creek Data","Fri, 2014-09-26 13:36","18","11"
"Coast Creek Data","Fri, 2014-09-26 13:36","19","12"
"Coast Creek Data","Fri, 2014-09-26 13:36","20","13"
"Coast Creek Data","Fri, 2014-09-26 13:36","21","14"
"Coast Creek Data","Fri, 2014-09-26 13:36","22","15"
"Coast Creek Data","Fri, 2014-09-26 13:36","23","16"
"Coast Creek Data","Fri, 2014-09-26 13:36","24","17"
"Coast Creek Data","Fri, 2014-09-26 13:36","26","18"
"Coast Creek Data","Fri, 2014-09-26 13:36","27","19"
"Coast Creek Data","Fri, 2014-09-26 13:36","28","20"
"Coast Creek Data","Fri, 2014-09-26 13:36","29","21"
"Coast Creek Data","Fri, 2014-09-26 13:36","33","22"
"Coast Creek Data","Fri, 2014-09-26 13:36","34","23"
"Coast Creek Data","Fri, 2014-09-26 13:40","10",""
"Coast Creek Data","Fri, 2014-09-26 13:40","11","1"
"Coast Creek Data","Fri, 2014-09-26 13:40","13","2"
"Coast Creek Data","Fri, 2014-09-26 13:40","14","3"
"Coast Creek Data","Fri, 2014-09-26 13:40","16","4"
"Coast Creek Data","Fri, 2014-09-26 13:40","17","5"
"Coast Creek Data","Fri, 2014-09-26 13:40","18","6"
"Coast Creek Data","Fri, 2014-09-26 13:40","19","7"
"Coast Creek Data","Fri, 2014-09-26 13:40","20","8"
"Coast Creek Data","Fri, 2014-09-26 13:40","21","9"
"Coast Creek Data","Fri, 2014-09-26 13:40","22","10"
"Coast Creek Data","Fri, 2014-09-26 13:40","23","11"
"Coast Creek Data","Fri, 2014-09-26 13:40","24","12"
"Coast Creek Data","Fri, 2014-09-26 13:40","26","13"
"Coast Creek Data","Fri, 2014-09-26 13:40","27","14"
"Coast Creek Data","Fri, 2014-09-26 13:40","28","15"
"Coast Creek Data","Fri, 2014-09-26 13:40","29","16"
"Coast Creek Data","Fri, 2014-09-26 13:40","33","17"
"Coast Creek Data","Fri, 2014-09-26 13:40","34","18"
"Coast Creek Data","Fri, 2014-09-26 13:41","3",""
"Coast Creek Data","Fri, 2014-09-26 13:41","4","1"
"Coast Creek Data","Fri, 2014-09-26 13:41","9","2"
"Coast Creek Data","Fri, 2014-09-26 13:41","10","3"
"Coast Creek Data","Fri, 2014-09-26 13:41","11","4"
"Coast Creek Data","Fri, 2014-09-26 13:41","15","5"
"Coast Creek Data","Fri, 2014-09-26 13:41","16","6"
"Coast Creek Data","Fri, 2014-09-26 13:41","17","7"
"Coast Creek Data","Fri, 2014-09-26 13:41","18","8"
"Coast Creek Data","Fri, 2014-09-26 13:41","19","9"
"Coast Creek Data","Fri, 2014-09-26 13:41","20","10"
"Coast Creek Data","Fri, 2014-09-26 13:41","21","11"
"Coast Creek Data","Fri, 2014-09-26 13:41","22","12"
"Coast Creek Data","Fri, 2014-09-26 13:41","23","13"
"Coast Creek Data","Fri, 2014-09-26 13:41","24","14"
"Coast Creek Data","Fri, 2014-09-26 13:41","26","15"
"Coast Creek Data","Fri, 2014-09-26 13:41","27","16"
"Coast Creek Data","Fri, 2014-09-26 13:41","28","17"
"Coast Creek Data","Fri, 2014-09-26 13:41","29","18"
"Coast Creek Data","Fri, 2014-09-26 13:41","33","19"
"Coast Creek Data","Fri, 2014-09-26 13:41","34","20"
"Grande Ronde River","Wed, 2014-10-08 11:00","19",""
"Grande Ronde River","Wed, 2014-10-08 11:00","20","1"
"Grande Ronde River","Wed, 2014-10-08 11:00","21","2"
"Grande Ronde River","Wed, 2014-10-08 11:00","22","3"
"Grande Ronde River","Wed, 2014-10-08 11:00","23","4"
"Grande Ronde River","Wed, 2014-10-08 11:00","24","5"
"Grande Ronde River","Wed, 2014-10-08 11:00","26","6"
"Grande Ronde River","Wed, 2014-10-08 11:00","27","7"
"Grande Ronde River","Wed, 2014-10-08 11:00","28","8"
"Grande Ronde River","Wed, 2014-10-08 11:00","29","9"
"Grande Ronde River","Wed, 2014-10-08 11:00","33","10"
"Grande Ronde River","Wed, 2014-10-08 11:00","34","11"
"Bear Creek","Tue, 2014-10-14 (All day)","3",""
"Bear Creek","Tue, 2014-10-14 (All day)","4","1"
"Bear Creek","Tue, 2014-10-14 (All day)","8","2"
"Bear Creek","Tue, 2014-10-14 (All day)","9","3"
"Bear Creek","Tue, 2014-10-14 (All day)","10","4"
"Bear Creek","Tue, 2014-10-14 (All day)","11","5"
"Bear Creek","Tue, 2014-10-14 (All day)","13","6"
"Bear Creek","Tue, 2014-10-14 (All day)","14","7"
"Bear Creek","Tue, 2014-10-14 (All day)","15","8"
"Bear Creek","Tue, 2014-10-14 (All day)","16","9"
"Bear Creek","Tue, 2014-10-14 (All day)","17","10"
"Bear Creek","Tue, 2014-10-14 (All day)","18","11"
"Bear Creek","Tue, 2014-10-14 (All day)","19","12"
"Bear Creek","Tue, 2014-10-14 (All day)","20","13"
"Bear Creek","Tue, 2014-10-14 (All day)","21","14"
"Bear Creek","Tue, 2014-10-14 (All day)","22","15"
"Bear Creek","Tue, 2014-10-14 (All day)","23","16"
"Bear Creek","Tue, 2014-10-14 (All day)","24","17"
"Bear Creek","Tue, 2014-10-14 (All day)","26","18"
"Bear Creek","Tue, 2014-10-14 (All day)","27","19"
"Bear Creek","Tue, 2014-10-14 (All day)","28","20"
"Bear Creek","Tue, 2014-10-14 (All day)","29","21"
"Bear Creek","Tue, 2014-10-14 (All day)","33","22"
"Bear Creek","Tue, 2014-10-14 (All day)","34","23"
"Bear Creek","Wed, 2014-10-15 (All day)","8",""
"Bear Creek","Wed, 2014-10-15 (All day)","13","1"
"Bear Creek","Wed, 2014-10-15 (All day)","14","2"
"Bear Creek","Wed, 2014-10-15 (All day)","15","3"
"Bear Creek","Wed, 2014-10-15 (All day)","19","4"
"Bear Creek","Wed, 2014-10-15 (All day)","20","5"
"Bear Creek","Wed, 2014-10-15 (All day)","21","6"
"Bear Creek","Wed, 2014-10-15 (All day)","22","7"
"Bear Creek","Wed, 2014-10-15 (All day)","26","8"
"Bear Creek","Wed, 2014-10-15 (All day)","27","9"
"Bear Creek","Wed, 2014-10-15 (All day)","28","10"
"Bear Creek","Wed, 2014-10-15 (All day)","29","11"
"Bear Creek","Wed, 2014-10-15 (All day)","33","12"
"Bear Creek","Wed, 2014-10-15 (All day)","34","13"
"Wenaha River","Wed, 2014-10-08 13:20","3",""
"Wenaha River","Wed, 2014-10-08 13:20","4","1"
"Wenaha River","Wed, 2014-10-08 13:20","8","2"
"Wenaha River","Wed, 2014-10-08 13:20","9","3"
"Wenaha River","Wed, 2014-10-08 13:20","10","4"
"Wenaha River","Wed, 2014-10-08 13:20","11","5"
"Wenaha River","Wed, 2014-10-08 13:20","13","6"
"Wenaha River","Wed, 2014-10-08 13:20","14","7"
"Wenaha River","Wed, 2014-10-08 13:20","15","8"
"Wenaha River","Wed, 2014-10-08 13:20","16","9"
"Wenaha River","Wed, 2014-10-08 13:20","17","10"
"Wenaha River","Wed, 2014-10-08 13:20","18","11"
"Wenaha River","Wed, 2014-10-08 13:20","19","12"
"Wenaha River","Wed, 2014-10-08 13:20","20","13"
"Wenaha River","Wed, 2014-10-08 13:20","21","14"
"Wenaha River","Wed, 2014-10-08 13:20","22","15"
"Wenaha River","Wed, 2014-10-08 13:20","23","16"
"Wenaha River","Wed, 2014-10-08 13:20","24","17"
"Wenaha River","Wed, 2014-10-08 13:20","26","18"
"Wenaha River","Wed, 2014-10-08 13:20","27","19"
"Wenaha River","Wed, 2014-10-08 13:20","28","20"
"Wenaha River","Wed, 2014-10-08 13:20","29","21"
"Wenaha River","Wed, 2014-10-08 13:20","33","22"
"Wenaha River","Wed, 2014-10-08 13:20","34","23"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","3",""
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","4","1"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","8","2"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","9","3"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","10","4"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","11","5"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","17","6"
"Enterprise Marr Pond Site","Thu, 2014-10-23 10:10","18","7"
"Enterprise City Park","Thu, 2014-10-23 09:02","13",""
"Enterprise City Park","Thu, 2014-10-23 09:02","19","1"
"Enterprise City Park","Thu, 2014-10-23 09:02","13",""
"Enterprise City Park","Thu, 2014-10-23 09:02","19","1"
"Imnaha River","Tue, 2014-10-07 10:00","33",""
"Camp Creek","Tue, 2014-10-07 12:30","3",""
"Camp Creek","Tue, 2014-10-07 12:30","4","1"
"Camp Creek","Tue, 2014-10-07 12:30","8","2"
"Camp Creek","Tue, 2014-10-07 12:30","9","3"
"Camp Creek","Tue, 2014-10-07 12:30","10","4"
"Camp Creek","Tue, 2014-10-07 12:30","11","5"
"Camp Creek","Tue, 2014-10-07 12:30","13","6"
"Camp Creek","Tue, 2014-10-07 12:30","14","7"
"Camp Creek","Tue, 2014-10-07 12:30","15","8"
"Camp Creek","Tue, 2014-10-07 12:30","16","9"
"Camp Creek","Tue, 2014-10-07 12:30","17","10"
"Camp Creek","Tue, 2014-10-07 12:30","18","11"
"Camp Creek","Tue, 2014-10-07 12:30","19","12"
"Camp Creek","Tue, 2014-10-07 12:30","20","13"
"Camp Creek","Tue, 2014-10-07 12:30","21","14"
"Camp Creek","Tue, 2014-10-07 12:30","22","15"
"Camp Creek","Tue, 2014-10-07 12:30","23","16"
"Camp Creek","Tue, 2014-10-07 12:30","24","17"
"Camp Creek","Tue, 2014-10-07 12:30","26","18"
"Camp Creek","Tue, 2014-10-07 12:30","27","19"
"Camp Creek","Tue, 2014-10-07 12:30","28","20"
"Camp Creek","Tue, 2014-10-07 12:30","29","21"
"Camp Creek","Tue, 2014-10-07 12:30","33","22"
"Camp Creek","Tue, 2014-10-07 12:30","34","23"
"Mingus Park","Wed, 2014-11-05 08:13","10",""
"Mingus Park","Wed, 2014-11-05 08:13","11","1"
"Mingus Park","Wed, 2014-11-05 08:13","15","2"
"Mingus Park","Wed, 2014-11-05 08:13","16","3"
"Mingus Park","Wed, 2014-11-05 08:13","17","4"
"Mingus Park","Wed, 2014-11-05 08:13","22","5"
"Mingus Park","Wed, 2014-11-05 08:13","23","6"
"Mingus Park","Wed, 2014-11-05 08:13","27","7"
"Mingus Park","Wed, 2014-11-05 08:13","28","8"
"Mingus Park","Wed, 2014-11-05 08:13","29","9"
"Mingus Park","Wed, 2014-11-05 08:13","34","10"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","3",""
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","4","1"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","8","2"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","9","3"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","10","4"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","11","5"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","13","6"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","14","7"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","15","8"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","19","9"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","20","10"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","21","11"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","24","12"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","26","13"
"Wallowa River Tamkaliks Site","Wed, 2014-10-15 12:53","33","14"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","3",""
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","4","1"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","8","2"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","9","3"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","10","4"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","11","5"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","13","6"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","14","7"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","15","8"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","16","9"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","17","10"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","18","11"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","19","12"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","20","13"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","21","14"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","22","15"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","23","16"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","26","17"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","27","18"
"Wallowa River Tamkaliks Site","Tue, 2014-10-14 13:00","33","19"
"Joseph City Park","Tue, 2014-10-28 09:20","13",""
"Joseph City Park","Tue, 2014-10-28 09:20","19","1"
"Joseph City Park","Tue, 2014-10-28 09:20","20","2"
"Joseph City Park","Tue, 2014-10-28 09:20","26","3"
"Joseph City Park","Thu, 2014-10-30 08:54","3",""
"Joseph City Park","Thu, 2014-10-30 08:54","11","1"
"Joseph City Park","Thu, 2014-10-30 08:54","17","2"
"Joseph City Park","Thu, 2014-10-30 08:54","18","3"
"Joseph City Park","Thu, 2014-10-30 08:54","23","4"
"Joseph City Park","Thu, 2014-10-30 08:54","24","5"
"Joseph City Park","Thu, 2014-10-30 08:54","29","6"
"Joseph City Park","Thu, 2014-10-30 08:55","17",""
"Joseph City Park","Thu, 2014-10-30 08:55","18","1"
"Joseph City Park","Thu, 2014-10-30 08:55","23","2"
"Joseph City Park","Thu, 2014-10-30 08:55","24","3"
"Joseph Prairie Creek","Tue, 2014-10-28 09:52","",""
"Wallowa River Wolfe Ranch","Tue, 2014-10-21 11:00","",""
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","13",""
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","19","1"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","20","2"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","21","3"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","22","4"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","23","5"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","24","6"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","26","7"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","27","8"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","28","9"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","29","10"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","33","11"
"Lostine River Wolfe Ranch","Tue, 2014-10-21 10:00","34","12"
"Reed Canyon","Wed, 2011-12-14 15:43","",""
