"Stream/Site name","Collected","South","Delta","Nid","Uid"
"Bear Creek","Thu, 2015-10-08 09:46","26","14","8991","109"
"Bear Creek","Thu, 2015-10-08 09:46","27","15","8991","109"
"Bear Creek","Thu, 2015-10-08 09:46","28","16","8991","109"
"Joseph City Park","Wed, 2015-10-21 10:00","3","","9161","109"
"Joseph City Park","Wed, 2015-10-21 10:00","8","1","9161","109"
"Joseph City Park","Wed, 2015-10-21 10:00","13","2","9161","109"
"Joseph City Park","Wed, 2015-10-21 10:00","19","3","9161","109"
"Joseph Prairie Creek","Wed, 2015-10-21 10:12","","","9181","109"
"Mingus Park","Thu, 2015-10-29 11:22","4","","9731","629"
"Mingus Park","Thu, 2015-10-29 11:22","9","1","9731","629"
"Mingus Park","Thu, 2015-10-29 11:22","15","2","9731","629"
"Mingus Park","Thu, 2015-10-29 11:22","18","3","9731","629"
"Mingus Park","Thu, 2015-10-29 11:22","19","4","9731","629"
"Mingus Park","Thu, 2015-10-29 (All day)","3","","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","4","1","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","9","2","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","10","3","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","11","4","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","13","5","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","14","6","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","15","7","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","16","8","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","17","9","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","18","10","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","19","11","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","20","12","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","21","13","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","22","14","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","23","15","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","24","16","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","26","17","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","27","18","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","28","19","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","29","20","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","33","21","9976","629"
"Mingus Park","Thu, 2015-10-29 (All day)","34","22","9976","629"
"Mingus Park","Mon, 2015-11-09 13:10","9","","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","13","1","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","14","2","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","15","3","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","17","4","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","18","5","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","19","6","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","20","7","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","21","8","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","22","9","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","23","10","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","24","11","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","26","12","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","27","13","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","28","14","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","29","15","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","33","16","9981","629"
"Mingus Park","Mon, 2015-11-09 13:10","34","17","9981","629"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:03","11","","10101","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:03","17","1","10101","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:03","18","2","10101","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:03","23","3","10101","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:03","24","4","10101","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:03","29","5","10101","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","3","","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","8","1","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","9","2","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","13","3","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","14","4","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","19","5","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","20","6","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:36","26","7","10106","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:28","4","","10111","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:28","13","1","10111","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:28","19","2","10111","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","3","","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","4","1","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","8","2","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","9","3","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","10","4","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","11","5","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","13","6","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","14","7","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","15","8","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","16","9","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","17","10","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","18","11","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","19","12","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","20","13","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","21","14","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","22","15","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","23","16","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","24","17","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","26","18","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","27","19","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","28","20","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","29","21","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","33","22","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 11:56","34","23","10116","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","13","","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","14","1","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","19","2","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","20","3","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","26","4","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","27","5","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","33","6","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 12:46","34","7","10121","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","3","","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","4","1","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","8","2","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","9","3","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","10","4","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","11","5","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","13","6","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","14","7","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","15","8","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","16","9","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","17","10","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","18","11","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","19","12","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","20","13","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","21","14","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","22","15","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","26","16","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","27","17","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:10","33","18","10126","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","3","","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","4","1","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","11","2","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","13","3","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","17","4","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","18","5","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","19","6","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","23","7","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","24","8","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","29","9","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","33","10","10131","841"
"Clemens Park - Alsea River","Tue, 2015-10-27 10:12","34","11","10131","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","3","","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","4","1","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","8","2","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","11","3","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","13","4","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","14","5","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","18","6","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 12:10","19","7","10136","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 13:00","4","","10141","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 13:00","8","1","10141","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 13:00","11","2","10141","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 13:00","13","3","10141","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 13:00","18","4","10141","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 13:00","19","5","10141","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 09:54","3","","10146","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 09:54","8","1","10146","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 09:54","13","2","10146","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 09:54","18","3","10146","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 09:54","19","4","10146","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 09:54","24","5","10146","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","3","","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","4","1","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","8","2","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","9","3","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","10","4","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","11","5","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","13","6","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","14","7","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","15","8","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","16","9","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","19","10","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:20","20","11","10151","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","4","","10156","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","8","1","10156","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","11","2","10156","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","13","3","10156","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","18","4","10156","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","19","5","10156","841"
"Clemens Park - Alsea River","Mon, 2015-10-26 10:05","24","6","10156","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","3","","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","4","1","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","8","2","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","9","3","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","10","4","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","11","5","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","13","6","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","14","7","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","15","8","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","16","9","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","17","10","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","18","11","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","19","12","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","20","13","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","21","14","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","22","15","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","23","16","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","24","17","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","26","18","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","27","19","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","28","20","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","29","21","10161","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 09:40","34","22","10161","841"
"Clemens Park - Alsea River","","","","10166","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","3","","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","19","1","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","21","2","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","26","3","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","27","4","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","28","5","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","29","6","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","33","7","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","34","8","10171","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","3","","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","4","1","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","8","2","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","10","3","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","11","4","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","13","5","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","14","6","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","26","7","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","28","8","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","29","9","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","33","10","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 00:36","34","11","10176","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","8","","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","9","1","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","13","2","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","14","3","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","15","4","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","16","5","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","19","6","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","20","7","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","21","8","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","22","9","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","23","10","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","26","11","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","27","12","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","28","13","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","29","14","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","33","15","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:45","34","16","10181","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","4","","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","10","1","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","11","2","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","13","3","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","17","4","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","18","5","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","19","6","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","22","7","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","24","8","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","27","9","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","29","10","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 12:10","34","11","10186","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","3","","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","4","1","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","8","2","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","9","3","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","10","4","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","11","5","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","13","6","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","14","7","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","15","8","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","16","9","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","17","10","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","19","11","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","20","12","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","21","13","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","26","14","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","27","15","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","28","16","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","33","17","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 13:13","34","18","10191","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","3","","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","11","1","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","15","2","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","16","3","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","17","4","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","18","5","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","19","6","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","20","7","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","21","8","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","22","9","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","23","10","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","24","11","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","26","12","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","28","13","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","29","14","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","33","15","10196","841"
"Clemens Park - Alsea River","Wed, 2015-11-04 10:00","34","16","10196","841"
"Cox Creek","Thu, 2015-11-19 (All day)","","","10286","673"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","3","","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","4","1","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","8","2","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","9","3","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","10","4","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","11","5","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","13","6","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","14","7","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","15","8","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","16","9","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","17","10","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","18","11","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","19","12","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","20","13","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","21","14","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","22","15","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","23","16","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","24","17","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","26","18","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","27","19","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","28","20","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","29","21","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","33","22","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:12","34","23","11171","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","3","","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","4","1","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","8","2","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","9","3","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","10","4","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","11","5","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","13","6","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","14","7","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","15","8","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","16","9","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","17","10","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:55","18","11","11176","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","13","","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","22","1","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","23","2","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","24","3","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","28","4","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","29","5","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","33","6","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 09:54","34","7","11181","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","3","","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","4","1","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","8","2","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","9","3","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","10","4","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","11","5","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","13","6","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","14","7","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","15","8","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","16","9","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","18","10","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","19","11","11186","611"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2016-02-24 10:50","20","12","11186","611"
