"Title","Journal Entry Field","Post date","Nid","Uid","Stream/Site name"
"forestry progres report","     We had perfect weather; blue skies, no rain, and warm a temperature for this time of year.  The leaves have started to turn colors and fall.  The creek is low and the ground is not too muddy.  I think all of the teams made great progress.  Especially the invasive species team.  They cleared a whole area of ivy, roots and all.
     My team mate and I gathered measurements on several trees.  We were able to estimate the height of most of the trees we have diameter measurements for.  We named each tree T1 thru T8.  I used an equation to figure out how tall each tree was.  The equation uses the distance from the trunk of the tree measured in feet, where I can see the top of the tree through the sights of the triangle shaped measuring device.  It has a bubble in it so I can hold it perfectly level to get an accurate reading.  Then I added to my line of sight height, which is five feet, to get the total height of the tree.  I think the tool uses the Pythagorean theorem. The angles are set so the calculation is based on the length of the one leg of the triangle, which is the distance from the trunk of the tree.  The tree makes the 90 degree angle to the ground that you need for a triangle with a hypotenuse.  It is so clever.  It sure beats climbing the tree with a tape measure.  So here are the heights of the trees we measured.
     T1:  49.6 feet tall
     T2:  39 feet tall
     T3:  This tree is so tall I ran out of measuring tape long before I could see the top of the tree.  I estimate it would have taken four or five tape measure lengths to reach the spot where I could see the top of the tree.  When I go back I will try to get this information.  We ran out of time so I could not finish.
     T4:  7.10 feet tall
     T5:  29 feet tall
     T6:  27.2 feet tall
     T7:  ran out of time
     T8:  22.2 feet tall","2012-11-27 16:11","4645","379","Tenino Court Site"
"Forestry progres report","     We had perfect weather; blue skies, no rain, and warm a temperature for this time of year.  The leaves have started to turn colors and fall.  The creek is low and the ground is not too muddy.  I think all of the teams made great progress.  Especially the invasive species team.  They cleared a whole area of ivy, roots and all.
     My team mate and I gathered measurements on several trees.  We were able to estimate the height of most of the trees we have diameter measurements for.  We named each tree T1 thru T8.  I used an equation to figure out how tall each tree was.  The equation uses the distance from the trunk of the tree measured in feet, where I can see the top of the tree through the sights of the triangle shaped measuring device.  It has a bubble in it so I can hold it perfectly level to get an accurate reading.  Then I added to my line of sight height, which is five feet, to get the total height of the tree.  I think the tool uses the Pythagorean theorem. The angles are set so the calculation is based on the length of the one leg of the triangle, which is the distance from the trunk of the tree.  The tree makes the 90 degree angle to the ground that you need for a triangle with a hypotenuse.  It is so clever.  It sure beats climbing the tree with a tape measure.  So here are the heights of the trees we measured.
     T1:  49.6 feet tall
     T2:  39 feet tall
     T3:  This tree is so tall I ran out of measuring tape long before I could see the top of the tree.  I estimate it would have taken four or five tape measure lengths to reach the spot where I could see the top of the tree.  When I go back I will try to get this information.  We ran out of time so I could not finish.
     T4:  7.10 feet tall
     T5:  29 feet tall
     T6:  27.2 feet tall
     T7:  ran out of time
     T8:  22.2 feet tall","2012-11-27 16:12","4646","379","Tenino Court Site"
"Water Quality 10/24/2012","Today was the first my group and I got to test the water. It was pretty sweet, I tested the DO (dissolved oxygen), Payton tested the pH levels, Mathew tested the temp, and Alex tested the turbidity. We only had time to test one site but we got to learn a lot from Ryan the man in charge of the whole operation. But all in all a great day. ~Kory Slane~","2012-11-28 14:48","4648","372","Tenino Court Site"
"third day in the field","This week was our last week in the field for this semester. I feel like a lot of people gave it their all, did exactly what they were supposed to do, and did it well. It can be hard sometimes to do your best when you know there is not much time left. I think that every one did an amazing job.
This week the weather was not that good, but I think that we made the best of it and did a good job. This week we were pulling out ivy along the creek. We pulled out from the homemade bridge down to the end of the property line. The invasive species group has helped the environment so much and we would have not been able to do it without our teachers, so thank you.
It has always been great getting to go outdoors and help the environment and this is a great way to do that. Even if the weather is bad we can still enjoy nature and help nature. It is also really cool to see the plants we planted last year and how they have grown and helped the creek. ","2012-11-28 14:58","4649","274","Tenino Court Site"
"Field days have ended","Our last day in the field was both exciting and informational. We saw a lot of wildlife species bugs and insects that we hadn't seen before. I think since the ground was moist and cool it was a more persuasive climate and habitat for the bugs to enjoy. While we were entering the field today their was an air of enjoyment mixed with sadness and anticipation. While these emotions were somewhat relevant the ability to complete the task given was not altered. I in my personal opinion believe today was the most fun we've had in class to date. And am excited for our last class and the chance to meet Robin Cody in person. While I will be sad for the short time we don't have class at all I will look forward to the next chance we recieve to hangout and enjoy friends.","2012-11-28 17:06","4651","368","Tenino Court Site"
"Core sample data","Unfortunately, we are unequipped to take core samples of most hardwoods, so the majority of our data is being gathered from the red cedar trees on the site. Other tree species will be specifically mentioned.
Tree 1: 16 rings, 8 of the rings narrowly-spaced
Circumference of 22 inches
Tree 2: Approx. 30 rings, evenly spaced
Circumference of 24 inches
Tree 3: 40 rings, evenly spaced, wide around 19th ring
Circumference of 60 inches
Tree 4: 20 rings, narrowly-spaced
Circumference not recorded (ran out of time, didn't have flagging tape yet so location was forgotten)
Tree 5: 36 rings
Circumference of 28 1/4 inches
Tree 6: 34 rings, very narrowly-spaced
Circumference of 16 inches
Tree 7: 34 rings, narrowly-spaced
Circumference of 14 inches
Tree 8: 25 rings, inner 6 widely-spaced
Circumference not recorded
Tree 9: 33 rings, very widely-spaced near centre
Circumference of 32 inches
Tree 10 (alder): 34 rings, estimated 40 (part of the sample was stuck in the tree)
Circumference 51 inches
Tree 11: 34 rings
Circumference not recorded
Tree 12 (alder): 37 rings, very widely-spaced near centre
Circumference not recorded
Tree 13: 58 rings
Circumference not recorded
Tree 14: 60 rings
Circumference not recorded","2012-11-30 19:03","4685","248","Tenino Court Site"
"Obligatory personal entry","My experience with this class is vastly better than it was last year, because this group of students is easier to be around for the most part, my assigned team makes sense and has an actual purpose, and I get to run around collecting ~tree data~, which is kind of what I want to do with my life as it is.
Even though it's wickedly cold in the morning and I have to get up at a ridiculously early hour and be where I need to a whole hour earlier than I actually need to (thanks, TriMet schedule), the weather hasn't been nearly as bad as it could be and even this last time, when it was actually raining, it hasn't rendered us unable to do anything. Also, I appreciate that we'll be taking January and February off, since it seems as though we weren't ever able to do our jobs on field days during those months.
The rain aside, I think this week's outing was the best, since both my teammate and I had a system going and really knew what we were doing and how to do it; everything ran very efficiently. Also, I got to take samples of what are probably the oldest trees on the site, which was immensely cool. Even if they aren't really all THAT old.","2012-11-30 19:36","4686","248","Tenino Court Site"
"Field Journal","On this field day the group I was in got a lot done. The last time we were testing the water quality it took us 1 hour to get one spot tested but this time we got 4. We first started on the place we did two weeks ago then went upstream approximately 30 feet. We saw some difference in the test and decided to go upstream more. I had to walk on the side of the hill because the ground was so muddy. After finishing the test there we notice that we still had lots of time left and went down to the entrance where the bridge is. We remembered that we never tested the water there and began the tests. When we were finished we grabbed something to drink and joined the invasive species group in pulling out vines. During our time there we pulled out lots on vines and got a stump out of the ground. It was a very successful day and we seem to get more done each time.   ","2012-12-04 16:26","4687","375","Tenino Court Site"
"The last week in the field before Christmas break!! :)","     The last field day that we had, which is also the last field day until March and the last one in our groups, was an awesome one. I had a ton of fun taking photos, holding the board, and using the GPS.
    Me and my brother got there at ten to start the day off because we did not want to be late. We were there for about ten minutes before anyone else got there so after five minutes my brother was wondering if we were still going to have class that day. Then when Noah and Ryan showed up we knew for sure that we were going to have class. The whole time we sat in the car me and him were practicing our bird calls.
    A little bit latter the class showed up and we all started heading down the hill. when we all finally made it down the hill we circled up like we normally do and we started to do our bird calls. I was going to do one but by the time I got enough confidence someone else had already done the one I was planning on doing. It was fine though anyways because I was really nervous about doing my bird call and I did not have to because someone had already done it.
    After we were done with that we went into each of our groups and did what we normally do. Again this week we finished early. We went back to the center, there was a lot of people just standing around talking and waiting for their hot chocolate. I did not really care to have hot chocolate so I went over to Noah and asked him if they needed any help and asked what I could do to help.
    So he had me start using a shovel to dig deep at the roots and get them loose so that it would be easier to put out of the ground. It was a lot of fun, I got to work near Mrs. Gibson, Noah, and my brother Sam.
    Then we all gathered at the center like always and said things that we liked about the day then went up the hill and left. In all it was a really good day and I had a lot of fun with it.","2012-12-04 22:51","4689","280","Tenino Court Site"
"Field Journal","    On our latest trip to the Tenino Court site we started out with our normal routine. We started in our circle and gave our bird calls there were a very wide variety of them. After we finished giving our bird calls we slit up in our groups and tested in our normal place where we have tested all the previous trips. It was very cold and took longer for us to complete our tasks because our fingers wouldn't move. When we finished with the testing there we went back downstream so we could test the water under the bridge. We saw a slight change in the results when we compared them and it was nearing time to leave.
    In the last hour or so of the trip we went to four corners of the Tenino Court site and logged in the cordenace for a map that we are going to make. I had to take the longer harder trail to the spots because I was wearing tennis shoes not boots and the area we were in was very muddy. When we finished writing down the cordenace we went and got something to drink. It was the end of another successful trip and was a great way to end the first part of our environmental literacy class.","2012-12-10 09:36","4690","375","Tenino Court Site"
"Semester One","Our last day in the field was a bittersweet time to remember and look forward to future visits. My last day in the field was spent trying to examine more available sources of information vital to our project and pulling ivy. While pulling ivy we found lots of interesting bugs insects and small amphibious animals. After that I went to the refreshment station and had some coffe which was actually quite quenching. And to add upon that i was also able to munch on some sugar cubes. While drinking I was able to listen to  others tell stories of outdoor adventures and tell a bit about my own experiences and how they've changed and molded who I am today. After all the fun times it seemed quite sad to have to drop such a wonderful class and wait till march to begin again so As we were in the final circle of this semester We were able to tell others what we enjoyed and what we looked forward to doing in the future. And that sums up my day in the field.","2012-12-14 11:33","4694","368","Tenino Court Site"
"My last experience at Tenino Court","  My last experience working out in the field at Tenino Court was a good one. We left the school and got on the max green line. There weren't as many people on it as I would expect.We then got off at the Flavel stop and walked up the giant hill to get up to the Tenino Court. Once we were finally there we broke up into our groups that we were assigned to and had been in the whole time.
     From what I can remember, it was a pretty nice day outside.It was kinda of chilly but it was sunny. Once I began moving around and getting my blood pumping it was not really that cold anymore. It smelled of decaying leaves, like it always does at the end of the fall season. Depending on where I was at the moment, the ground was dry in some places but almost a complete swamp in others.
     The water chemistry/ water quality group, which is the one that I was assigned to, got good data on the last day. We tested the waters pH level, turbidity, temperature, and dissolved oxygen level. To get a decent sample, sometimes you had to go out in the more swampier parts of Tenino Court, which wasn't a problem for me since I was wearing rain boots, but for some of the other people in my group their shoes were screwed after being out in the muddy parts we sometimes had to go to.
     Overall, it was a good experience. I had a good time at Tenino Court throughout the whole semester but the last day or the trip before that were one of the best/ funnest days we went out there. I look forward to doing it all again next semester.","2013-01-15 12:32","4710","371","Tenino Court Site"
"leaf bag #3","
     murky water                               upstream


     lots of algae


     shallow water


     more shade


     less current


     hillside


     more slope


     roots exposed on maple tree
","2013-03-13 13:43","4762","371","Tenino Court Site"
"Photo point week 1","","2013-03-13 13:59","4763","370","Tenino Court Site"
"Photo point week 1.","Today in Photo Point we took pictures at Four different spots it was fun but also it took a little bit to get finished at the circle but it was still fun can't wait till next week.","2013-03-13 14:04","4764","370","Tenino Court Site"
"WELL","The first day back out in the field was actually pretty awesome. Aside from the lovely surprise of warm, sunny weather, I took upon myself a challenge. In our gathering of core samples, we came across a cedar that sort of... split into three different trees. We had no idea how to record data for a case like this, but we figured taking a sample from one of the splits would give us a decent idea of the tree's age, since they were all about the same circumference (eyeballed). The trunk, before the splits, was simply too thick to draw a sample from; plus it didn't make as much sense anyway.
Getting the sample, however, was a challenge. We're convinced that this tree is sentient and out to thwart our every effort.
I climbed up it to get to a position from which I could start boring, but it took about 45 minutes for me to finally get the bit far enough in to stay without my holding it up; after that ordeal, the sampler kept coming out as I was trying to turn the bit, resulting in tiny bits of the core rolling out one at a time that I had to count before they fell. THEN, some of the sample got stuck in the end of the borer bit and we had to spend time getting it out... after getting the borer out of the tree, with great effort (it was almost stuck).
We took another sample but THAT borer almost got stuck too; luckily, this sample was worth all the trouble. Too late to save my cramped legs, though, eh. But what counts is that we GOT THE SAMPLE so that tree can SUCK IT.","2013-03-13 15:00","4767","248","Tenino Court Site"
"Photo Point Week 1","This week was very fun and exciting, I enjoyed working as a team and taking pictures of the different sites we picked. We only got to four places today because of the limited time, but I am most definitely excited for next week!","2013-03-13 15:57","4769","419","Tenino Court Site"
"Soil Chemistry","March 13, 2013 Day 1  
The property is looking plentiful with wild life! 
Our soil chem group will be working on an awesome project this semester. We will be planting four sword ferns in four different spots on the Tenino Court Site. Our group took the time today to determine the four different spots we will be planting the sword ferns. We have decided to take in account the different factors in the soil also, around the soil. We have concluded to plant in some different spots such as near the creek, on a slope, an open area with no tree cover and lastly, by the composition pile. We have not yet planted the ferns but, we plan on it next time! While we wait until the next outing, the ferns are sitting pretty in my little handy dandy green house.","2013-03-13 19:13","4770","369","Tenino Court Site"
"Photo Point week  one semester 2 3/13/2013","Today was the first day in the field I think that it went really well. The photo point team got along great and we worked together well.Today we completed four different photo points and next field day we plan on doing more. Each person has an assigned task and if  we don't complete the task we won't be able to document everything. Today was a great day and I'm looking forward to the next field day.","2013-03-15 11:26","4782","240","Tenino Court Site"
"River Science  3/13/13","David Rios
It was my first day of class so I had no idea what we where going to do. We arrive at the site and played a quick name game where you tried to remember someone name by associating the name of the person with a animal. After the the game we went out to our grups to start working. I belong to the group where we have to remove all of the ivy and weeds growing by the creek. We were able to remove a large portion of ivy and weeds around the creek and trees. Overall the day was fun, I was able to earn some YTA hours doing something that helps out the environment and at the same time learnig new things.","2013-03-19 23:13","4786","418","Tenino Court Site"
"Soil Chemistry","    The Tenino Court site received four young ferns planted/added to the abundant fern family. They are each strategically placed in different areas that may affect their growth rate. The ferns can be found easily because, they have an orange tape triangle protecting them from stomping feet. Can't wait to test the soil quality next visit!","2013-04-15 20:49","4800","369","Tenino Court Site"
"Field days :)","    These last few weeks in the field have been a ton of fun and we have gotten a ton of work done. Todays field day in particular was a blast. We pulled more than the goal that we had set at the start of the day, and we all have fun with it(well at least I did). I actually talked to people other than the ones that I already knew. Halle help us pull a lot of ivy and she was next to me so we got to talk while we were pulling the ivy. We were all really close to each other pulling the ivy, instead of spread apart like we normally are. So I got to talk to a ton of people that I never have before and I also found out a lot of people in my group’s middle names. This year in class has been a lot of FUN!!!!!","2013-04-24 12:52","4802","280","Tenino Court Site"
"fun in the field","Today in the field my group did the same thing we always do, pulling out invasive species. The hardest part about my group is it is hard not to get distracted with all the awesome people I work with. I really enjoy working with my group we get to talk hang out and help the environment.","2013-04-24 14:39","4804","274","Tenino Court Site"
"Invasive species","4/24/13
We work hard out in the field today. We put a goal before we went out to double our work from the previous week and I think we did meet it. One thing intresting that happen today was that the bridge that we used to cross over to our work place was destroyed so we had to use a different  bridge.","2013-05-01 08:58","4807","418","Tenino Court Site"
"Water Quality Journal","What we do in water quality is test the water. First, we check the temperature of the air and water. Afterwards, we test for dissolved oxygen. Then we see if the water is acidic or base (PH). At last, we check to see how much substance is in the water (Turbidity).","2013-05-09 09:50","4857","388","Tenino Court Site"
"Soil Chemistry"," Had a great 'special ops' mission, pull most of the invasive ivy surrounding ferns and other lower brush. Enjoyed gently laying logs in the stream to improve the shade amount.
The ferns our group planted are looking good. I think they finally have got used to their new environment.","2013-05-09 14:27","4859","369","Tenino Court Site"
"Photo Point may 8th 2013","Today in the field the photo point team focused on capturing photo points by the banks area . We took seven different photo points of all of the ivy areas that needed to be pulled . We took this so that we could see the before and after differences . After making sure we had all the photo points I went to help pull ivy . I had a great second to the last field day .","2013-05-09 15:59","4863","240","Tenino Court Site"
"core sample of wild cherry tree","This last Wednesday was awesome.  We got a huge tree measured.  It is the first one that big that we have been able to get a sample of.  It was a wild cherry tree and according to the core sample it was 84 years old.  We couldn't find a tapemeasure in the equipment so I will have to get the height next time.  I need to remember to bring a tape measure from home for next field work day so I can do that.  That tree took a long time to get the core sample because the tool has become dull.  I don't know if you can sharpen them or if you just have to replace them,  but we found another core tool that works much better.  It also leaves a much cleaner hole in the tree.  The dull one leaves a more jagged hole.  I don't think it is as good for the tree as the sharp one.  We should fix or retire the dull one.","2013-05-13 00:04","4864","379","Tenino Court Site"
"What I do at the Tenino Court Site.","This semester I learned how to test the water quality with Vernear systems and also check the quality manually. We would test the PH, Desolved oxygen, air and water temperature, and turbity. Before I went in to water quality I never knew how to test the water and now I have some useful skills about water quality and I came out with some extra knowldge about rivers and streams.","2013-05-13 12:37","4865","411","Tenino Court Site"
"What I do at the Tenino Court Site.","This semester I learned how to test the water quality with Vernear systems and also check the quality manually. We would test the PH, Desolved oxygen, air and water temperature, and turbity. Before I went in to water quality I never knew how to test the water and now I have some useful skills about water quality and I came out with some extra knowldge about rivers and streams.","2013-05-13 12:39","4866","411","Tenino Court Site"
"What I do at the Tenino Court Site.","This semester I learned how to test the water quality with Vernear systems and also check the quality manually. We would test the PH, Desolved oxygen, air and water temperature, and turbity. Before I went in to water quality I never knew how to test the water and now I have some useful skills about water quality and I came out with some extra knowldge about rivers and streams.","2013-05-13 12:59","4867","411","Tenino Court Site"
"Another Obligatory Field Journal.","Don't get me wrong; I love being on the forestry team, because my job is easy, core samples are interesting, and I only have one other teammate (who is cool) to deal with.
However, this last week was probably the most satisfying time out in the field, because it felt like we were doing work that ACTUALLY mattered, instead of running around doing weird and mostly useless/unhelpful things.
 
So yeah, we basically just pulled ivy the whole time we were there; I don't really need to explain what we did.
I ripped some up on my own, and when I ran out of big patches to do, I trailed behind some of the bigger groups and pulled up the little ivy plants that they missed.
I'm looking forward to the next time we're out there, doing the same thing. Restoration work is the best.","2013-05-13 17:21","4875","248","Tenino Court Site"
"My Experience","Being in a water quality group was pretty interesting. I love the nature and the wilderness. Seeing how everyone cares about the health of the small creak/forest is a delightful feeling. It was nice getting data everytime we went out to the field to see if the temperature, pollution, ect how it changes everytime we go out there. Learing about different kind of plants and trees was nice to know. Over all I had a good experience learning about the nature and collecting data.","2013-05-14 15:16","4877","414","Tenino Court Site"
"Soil Chemistry","During the first day my group searched the site for potential habitats to place ferns. On the second day we selected three areas and planted the ferns. After a couple of weeks we collected soil data. The soil data included PH levels, nitrogen levels, phosphorous levels, and potassium levels. I now plan to construct a graph out of the data I collected. This graph will help people see the information in a more visual way. Once I complete the graph people will easily see what habitat ferns grow best in.  In conclusion, I enjoyed myself while learning about soil chemicals and how ferns grow.","2013-05-14 18:23","4879","408","Tenino Court Site"
"My fantabulously awesome adventure","I had a Fantabulously awesome adventure ( I did just say Fantabulously don't judge) pulling ive and having fun, this is should be the invacive species moto. We pulled a lot of ive. I have been in this class for two years and people should have seen it before. It was all green there was almost no brown spots of dirt there were a cupple trails, but that was all. Before there were almost no animals there was an occasional spider or squirrel. After we have been here we have seen squirrel's, spiders, fungis (we didnt see it last year.), snails, and even deer! That made all of this worth while. ","2013-05-14 18:55","4880","258","Tenino Court Site"
"Removing of plants","One day we went into the field and removed a bunch of holly that was in the way so we took the trees and pulled them up  this is a picture of the kind of trees we pulled up http://www.bing.com/images/search?q=holly+tree+small&FORM=HDRSC2#view=detail&id=3DE79164567B2F321FC60BD734F351615C816E03&selectedIndex=8","2013-05-15 18:32","4887","410","Tenino Court Site"
"4/30/13: Kory","    After arriving at site me and my group went over to our testing sites. Being a slow day, we didn't get as much acomplished as we would have liked to. With that said we did test two sites before leaving. The first one was up on what could be the highest embankment. There, where we had previously planted a sword fern, we tested the soil chemistry. The results were: pH 7.5, Phosphorous Low, Potassium Low - Medium, and then someone dumped out the nitrogen solution so that was a bust. The second site in the middle of an open embankment on the right side of the creek, where we had placed another fern, had the following results: pH 7, Phosphorous Low, Potassium Low - Medium, and Nitrogen Low - Medium. What this means, I forgot, but it is valuable information for the environment. And that brings my day to an end.
                                Thank You, Terri and Bryson for a wonderful experience. ","2013-05-19 19:46","4891","372","Tenino Court Site"
"What it's like to live with an alien","pretty fun, actually! you'd be amazed. ","2014-03-12 21:17","5577","239","Outer Space"
"Full Moon","Full moon adventure, this Saturday night.","2014-03-12 22:00","5586","20","Hart Mountain"
"First Trillium of the spring!","Spotted on the trail yesterday. whoooo! ","2014-03-13 13:31","5605","239","Beverly Beach"
"editor Testing","Tool bar test, This is a somewhat limited toolbar for students to add field journals, it seems to work.","2014-04-27 09:01","5912","14","SE Belmont"
"Stream Survey Wikispaces link"," 
https://eddyvillestreamsurvey.wikispaces.com","2014-07-07 11:09","6138","601","No Name Creek at Eddyville Charter School"
"Imnaha River Data Experience 10/7/2014","Today we went and collected bugs. Some of the bugs were snails, mayflies, and caddisflies. We measured what types of plants were along the river. We also measured the shape of the river by collecting information about riffle,run, pool. We had lots of fun collecting data.The weather was cool in the morning but it got hot as the day went on.","2014-10-07 12:04","6340","109","Imnaha River"
"My journal about slugs","The two large slug species in the Pacific Northwest are the banana slug and the European red slug. I make friends with both. ","2014-12-19 13:37","6684","683","Reed Canyon"
"http://mingusparkstudentservicelearning.wikispaces.com/","The Mingus Park Student Service Learning Website provides residents and visitors of Coos Bay, OR with information about Mingus Park researched and collected by Coos Bay students.","2016-09-21 10:58","36246","601","Mingus Park"
"Water Quality Monitoring Videos","https://www.youtube.com/playlist?list=PLbZLYgJeQu_xjRC42ddPkCslX39Eo-oXoLink to water quality videos done by Taft HS students who monitor this site in collaboration with the Salmon Drift Creek Watershed Council.","2016-09-21 12:09","36251","601","D River"
"Water Quality Monitoring Videos","Link to water quality videos done by Taft HS students who monitor this site in collaboration with the Salmon Drift Creek Watershed Council.https://www.youtube.com/playlist?list=PLbZLYgJeQu_xjRC42ddPkCslX39Eo-oXo","2016-09-21 12:15","36261","601","Schooner Creek"
"Water Quality Monitoring Videos","Link to water quality videos done by Taft HS students who monitor this site in collaboration with the Salmon Drift Creek Watershed Council.https://www.youtube.com/playlist?list=PLbZLYgJeQu_xjRC42ddPkCslX39Eo-oXo","2016-09-21 12:17","36266","601","Drift Creek Elks Lodge"
"09/28/2016 lucy. ione. katelyn. emmett journal","Emmett fell down in the river and got the labquest unit wet. We looked at lots of plants. We looked at lots of bugs. We caught caddisflies, water pennies, stone flies, and mayflies. We found a cave. We had fun!! :) The river was very cold.","2016-09-28 14:30","36381","109","Wenaha River"
"9.28.2016 ione. lucy. emmett. katelyn journal :)","We looked at the gnome. We collected data on plants, invertebrates, measured the river bank and determined how clean the river was today. :) Then, we took pictures of the river and each other collecting data and a water snake. We saw a snake and saw fisherman catch a steelhead. He had two in his catch today. There were lots of rocks on the river bank. We saw caddis flies, water pennies, and crawfish. We saw lots and lots worms. :)!!!! 
 ","2016-09-28 14:37","36386","109","Grande Ronde River"
"May 31, 2017 Summary","This year our focus was to start rehabilitate the creek between LCC and SHS.  Last year the objective was to remove invasives (bullfrogs and scotch broom); however, there is always more scotch broom to remove.  This year we wanted to plant natives like willows at the creek side to help with canopy cover.  Because this was an extremely wet year, the willows had ample opportunity to settle in naturally.  There was much more vegetation this spring.  In addition, with grant money we were able to purchase 4 signs to post on site as a SHS Biology class project and habitat restoration site. Those will get put up after we acquire city approval.
Due to the homeless camps in the vicinity we did not get out as much as we had hoped this year.  Our trail cam was destroyed in Dec or January.  Due to a local PTA grant, we were able to purchase another trail cam, but we have to decide the best place to post it to eliminate the vandalism.  We are hoping to get that up sometime over the summer.  We did manage to get a few great day and night time shots of bears and coyotes.
All in all, it was a very successful year. ","2017-05-31 09:47","41011","996","Viking Creek SHS"
